step,stock0,stock1,stock2,stock3,stock4
1,71.382,101.377,63.372,798.085,101.446
2,54.882,97.377,52.872,714.085,67.446
3,38.382,163.377,42.372,630.085,33.446
4,21.882,159.377,31.872,546.085,129.446
5,75.382,155.377,21.372,462.085,95.446
6,58.882,151.377,80.872,378.085,61.446
7,42.382,147.377,70.372,294.085,97.446
8,25.882,143.377,59.872,210.085,133.446
9,9.382,139.377,49.372,256.085,99.446
10,62.882,135.377,38.872,302.085,65.446
11,46.382,131.377,28.372,218.085,101.446
12,29.882,127.377,17.872,334.085,67.446
13,13.382,123.377,77.372,380.085,33.446
14,66.882,119.377,66.872,296.085,129.446
15,50.382,115.377,56.372,412.085,95.446
16,33.882,111.377,45.872,328.085,131.446
17,17.382,107.377,35.372,444.085,97.446
18,70.882,103.377,24.872,360.085,63.446
19,54.382,99.377,84.372,406.085,29.446
20,37.882,95.377,73.872,392.085,125.446
21,21.382,91.377,63.372,438.085,91.446
22,74.882,87.377,52.872,354.085,57.446
23,58.382,83.377,42.372,400.085,93.446
24,41.882,79.377,31.872,446.085,129.446
25,25.382,145.377,21.372,492.085,95.446
26,8.882,141.377,80.872,538.085,61.446
27,62.382,137.377,70.372,584.085,27.446
28,45.882,133.377,59.872,570.085,123.446
29,29.382,129.377,49.372,556.085,89.446
30,12.882,125.377,38.872,472.085,125.446
