step,stock0,stock1,stock2,stock3,stock4
1,71.382,101.377,63.372,798.085,101.446
2,54.882,97.377,52.872,714.085,67.446
3,38.382,93.377,42.372,630.085,103.446
4,21.882,89.377,31.872,546.085,69.446
5,75.382,85.377,21.372,462.085,35.446
6,58.882,81.377,10.872,378.085,71.446
7,42.382,77.377,70.372,294.085,37.446
8,25.882,73.377,59.872,210.085,73.446
9,9.382,69.377,49.372,126.085,109.446
10,62.882,65.377,38.872,172.085,75.446
11,46.382,61.377,28.372,218.085,111.446
12,29.882,57.377,17.872,134.085,77.446
13,13.382,53.377,77.372,180.085,43.446
14,66.882,49.377,66.872,96.085,139.446
15,50.382,115.377,56.372,142.085,105.446
16,33.882,111.377,45.872,258.085,71.446
17,17.382,107.377,35.372,174.085,107.446
18,70.882,103.377,24.872,220.085,73.446
19,54.382,99.377,84.372,136.085,39.446
20,37.882,95.377,73.872,182.085,75.446
21,21.382,161.377,63.372,228.085,41.446
22,74.882,157.377,52.872,144.085,137.446
23,58.382,153.377,42.372,260.085,103.446
24,41.882,149.377,31.872,246.085,69.446
25,25.382,145.377,21.372,162.085,105.446
26,8.882,141.377,80.872,208.085,71.446
27,62.382,137.377,70.372,124.085,37.446
28,45.882,133.377,59.872,170.085,73.446
29,29.382,129.377,49.372,216.085,39.446
30,12.882,125.377,38.872,132.085,75.446
